Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Tue Apr 15 02:01:41 2025


*** MCMC Parameters ***

Seed                         : 1744707681
Update Allele Frequencies    : No
Gibbs sample missing data    : No
Check for Pedigree cycles    : Yes


*** Simulated Annealing specific Parameters ***

Initial acceptance rate chi  : 0.950
Neighborhood Size Factor beta: 3.000
Increment delta              : 0.100000
Converge event number        : 3
Converge tolerance epsilon   : 0.001

Calculated Parameters     
  Neighboorhood Size         : 82780
  Initial temperature c0     : 111.000000


*** Metropolis Hastings specific Parameters ***

Burnin Iterations            : 50000000
Iterations                   : 1215752192
Sample frequency             : 1000
MCMCMC Swap frequency        : 25
MCMCMC Number of swaps       : -1 (-1 == number threads)
MCMCMC Temperature           : 0.500


*** Data Parameters ***

  Nfmax                      : 60000
  Nmmax                      : 60000

 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |      Stage |  Iteration | Best Score |    Average |    Sigma |     Temp | Ratio |     x_f |     x_m | Thread |
 |        150 |   37002512 |  -3138.588 |  -3495.702 |   97.488 |   18.345 |  0.64 |   0.380 |   0.380 |      0 |
 |        151 |   37250851 |  -3131.102 |  -3494.992 |   91.666 |   18.236 |  0.64 |   0.426 |   0.426 |      0 |
 |        152 |   37499190 |  -3131.102 |  -3625.454 |   81.205 |   18.121 |  0.61 |   0.416 |   0.416 |      0 |
 |        153 |   37747529 |  -3131.102 |  -3603.875 |   97.672 |   17.994 |  0.62 |   0.415 |   0.415 |      0 |
 |        154 |   37995868 |  -3131.102 |  -3625.644 |   69.538 |   17.889 |  0.61 |   0.393 |   0.393 |      0 |
 |        155 |   38244207 |  -3131.102 |  -3747.904 |   73.919 |   17.744 |  0.58 |   0.410 |   0.410 |      0 |
 |        156 |   38492546 |  -3131.102 |  -3728.087 |  110.785 |   17.610 |  0.58 |   0.448 |   0.448 |      0 |
 |        157 |   38740885 |  -3131.102 |  -3657.607 |   72.403 |   17.521 |  0.60 |   0.450 |   0.450 |      0 |
 |        158 |   38989224 |  -3131.102 |  -3629.596 |   77.211 |   17.388 |  0.60 |   0.473 |   0.473 |      0 |
 |        159 |   39237563 |  -3131.102 |  -3544.823 |   83.821 |   17.264 |  0.62 |   0.507 |   0.507 |      0 |
 |        160 |   39485902 |  -3131.102 |  -3680.574 |  114.446 |   17.152 |  0.59 |   0.468 |   0.468 |      0 |
 |        161 |   39734241 |  -3131.102 |  -3551.356 |  102.336 |   17.071 |  0.62 |   0.453 |   0.453 |      0 |
 |        162 |   39982580 |  -3131.102 |  -3582.455 |   79.044 |   16.981 |  0.61 |   0.465 |   0.465 |      0 |
 |        163 |   40230919 |  -3131.102 |  -3554.527 |   96.928 |   16.865 |  0.61 |   0.370 |   0.370 |      0 |
 |        164 |   40479258 |  -3131.102 |  -3552.616 |  105.579 |   16.773 |  0.62 |   0.420 |   0.420 |      0 |
 |        165 |   40727597 |  -3131.102 |  -3592.132 |   85.451 |   16.688 |  0.60 |   0.507 |   0.507 |      0 |
 |        166 |   40975936 |  -3131.102 |  -3668.547 |   87.021 |   16.586 |  0.59 |   0.499 |   0.499 |      0 |
 |        167 |   41224275 |  -3131.102 |  -3565.060 |   77.185 |   16.486 |  0.62 |   0.475 |   0.475 |      0 |
 |        168 |   41472614 |  -3131.102 |  -3569.581 |   87.892 |   16.375 |  0.61 |   0.475 |   0.475 |      0 |
 |        169 |   41720953 |  -3131.102 |  -3526.963 |   89.459 |   16.278 |  0.62 |   0.502 |   0.502 |      0 |
 |        170 |   41969292 |  -3131.102 |  -3457.694 |   90.986 |   16.185 |  0.63 |   0.446 |   0.446 |      0 |
 |        171 |   42217631 |  -3131.102 |  -3488.317 |   88.208 |   16.094 |  0.62 |   0.473 |   0.473 |      0 |
 |        172 |   42465970 |  -3131.102 |  -3590.126 |  144.443 |   16.001 |  0.61 |   0.447 |   0.447 |      0 |
 |        173 |   42714309 |  -3131.102 |  -3710.650 |   94.349 |   15.945 |  0.58 |   0.433 |   0.433 |      0 |
