Tree,Lat,Lat ',Long,Long '
HS0172,37,24.835,115,23.204
HS0173,37,24.860,115,23.218
HS0174,37,24.838,115,23.214
HS0175,37,24.853,115,23.218
HS0176,37,24.835,115,23.223
HS0177,37,24.866,115,23.222
HS0178,37,24.833,115,23.215
HS0179,37,24.862,115,23.234
HS0180,37,24.830,115,23.213
HS0181,37,24.854,115,23.228
HS0182,37,24.827,115,23.220
HS0183,37,24.850,115,23.227
HS0184,37,24.820,115,23.216
HS0185,37,24.857,115,23.242
HS0186,37,24.815,115,23.222
HS0187,37,24.857,115,23.242
HS0188,37,24.825,115,23.238
HS0189,37,24.853,115,23.253
HS0190,37,24.826,115,23.234
HS0191,37,24.851,115,23.256
HS0192,37,24.829,115,23.233
HS0193,37,24.849,115,23.252
HS0194,37,24.830,115,23.255
HS0195,37,24.846,115,23.254
HS0196,37,24.835,115,23.243
HS0198,37,24.841,115,23.235
HS0200,37,24.840,115,23.241
HS0202,37,24.841,115,23.241
HS0204,37,24.845,115,23.232
HS0206,37,24.845,115,23.242
HS0208,37,24.850,115,23.243
HS0210,37,24.842,115,23.251
HS0212,37,24.842,115,23.253
HS0251,37,24.831,115,23.267
HS0252,37,24.836,115,23.270
HS0253,37,24.834,115,23.280
HS0254,37,24.844,115,23.262
HS0255,37,24.853,115,23.293
HS0256,37,24.843,115,23.263
HS0257,37,24.840,115,23.334
HS0258,37,24.848,115,23.313
HS0259,37,24.836,115,23.338
